epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0746,1.96417,2.15454,1.25731,0.17179,0.18409,0.10407,0.04001,2.46965,2.71313,1.57816,0.0702381,0.00330688,0.00330688
2,90.881,1.96658,1.75694,1.27468,0.43172,0.19494,0.17663,0.0771,2.14024,4.36436,1.36841,0.0399751,0.00637726,0.00637726
3,131.129,1.88719,1.65362,1.24492,0.56231,0.17901,0.17527,0.06566,2.23864,4.68916,1.45495,0.00944819,0.00918364,0.00918364
4,170.808,1.84838,1.61242,1.22002,0.54835,0.29608,0.32759,0.16313,1.76128,2.52716,1.27007,0.008812,0.008812,0.008812
5,210.229,1.79302,1.48572,1.19237,0.75361,0.2327,0.28901,0.14474,1.85638,2.60091,1.25582,0.008416,0.008416,0.008416
6,250.101,1.77166,1.44915,1.17396,0.77357,0.29701,0.33254,0.16115,1.82785,1.54182,1.20012,0.00802,0.00802,0.00802
7,290.154,1.73738,1.41559,1.16666,0.69695,0.31916,0.3046,0.15273,1.74241,1.71352,1.20457,0.007624,0.007624,0.007624
8,330.026,1.69653,1.35154,1.14654,0.77182,0.28586,0.32323,0.16277,1.74992,1.38525,1.1779,0.007228,0.007228,0.007228
9,369.873,1.6847,1.30117,1.14698,0.8013,0.34261,0.3791,0.20129,1.64862,1.39486,1.1377,0.006832,0.006832,0.006832
10,409.841,1.68308,1.29744,1.13321,0.58648,0.35375,0.38266,0.1997,1.61549,1.27877,1.13525,0.006436,0.006436,0.006436
11,449.708,1.65056,1.25974,1.12682,0.79148,0.35754,0.41451,0.2177,1.65355,1.40843,1.14216,0.00604,0.00604,0.00604
12,489.471,1.64021,1.2216,1.11423,0.62877,0.36443,0.38914,0.19363,1.71699,1.64306,1.14302,0.005644,0.005644,0.005644
13,529.083,1.62546,1.21813,1.1123,0.61318,0.38652,0.42993,0.23164,1.57281,1.13653,1.10246,0.005248,0.005248,0.005248
14,568.881,1.6136,1.20434,1.10187,0.6356,0.3878,0.42777,0.23137,1.56029,1.24026,1.0979,0.004852,0.004852,0.004852
15,608.416,1.58783,1.16636,1.09595,0.84736,0.4182,0.45937,0.25404,1.52396,1.08882,1.09109,0.004456,0.004456,0.004456
16,648.461,1.57485,1.13761,1.10364,0.80087,0.33991,0.41299,0.21636,1.64802,1.27961,1.11449,0.00406,0.00406,0.00406
17,686.213,1.52685,1.09693,1.09399,0.66536,0.3783,0.42474,0.22594,1.56382,1.2307,1.09059,0.003664,0.003664,0.003664
18,723.604,1.5224,1.09446,1.08224,0.63192,0.47946,0.47013,0.25634,1.50016,1.06505,1.07769,0.003268,0.003268,0.003268
19,760.847,1.48654,1.0314,1.06566,0.66225,0.40525,0.46666,0.24486,1.49772,1.09835,1.06798,0.002872,0.002872,0.002872
20,797.599,1.48785,1.0114,1.0641,0.76565,0.45412,0.51112,0.28232,1.45881,0.9841,1.0612,0.002476,0.002476,0.002476
21,834.986,1.45692,0.98514,1.05516,0.68295,0.42399,0.48728,0.27671,1.43366,0.97409,1.03982,0.00208,0.00208,0.00208
22,872.821,1.46121,0.98297,1.05363,0.67631,0.42694,0.49192,0.28216,1.41301,0.95211,1.04193,0.001684,0.001684,0.001684
23,910.688,1.43224,0.94618,1.04274,0.75801,0.44455,0.53352,0.30744,1.43422,0.94088,1.03905,0.001288,0.001288,0.001288
24,948.291,1.41459,0.93156,1.03988,0.78408,0.46381,0.53989,0.29888,1.39697,0.88654,1.0306,0.000892,0.000892,0.000892
25,986.036,1.40683,0.91233,1.03268,0.72837,0.4705,0.54073,0.31322,1.36871,0.87425,1.02538,0.000496,0.000496,0.000496
