epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4389,1.90602,2.15588,1.23509,0.30289,0.21242,0.06329,0.02403,2.43992,4.03781,1.56491,0.0650189,0.00227981,0.00227981
2,89.628,1.87725,1.63836,1.23051,0.61587,0.20451,0.20986,0.09598,2.08713,2.34774,1.33373,0.0347376,0.00439658,0.00439658
3,129.665,1.82808,1.56558,1.22553,0.83357,0.18569,0.22891,0.10426,1.94678,2.48333,1.26594,0.00619698,0.00619698,0.00619698
4,170.299,1.79859,1.51907,1.20214,0.52163,0.2726,0.27823,0.13891,1.86972,1.6972,1.23201,0.00593048,0.00593048,0.00593048
5,210.575,1.76117,1.43426,1.17332,0.75755,0.32459,0.35939,0.18814,1.65667,1.81159,1.1501,0.00566397,0.00566397,0.00566397
6,251.156,1.71696,1.38872,1.15619,0.78768,0.32554,0.35465,0.18468,1.67541,1.63273,1.13363,0.00539746,0.00539746,0.00539746
7,291.394,1.70687,1.3282,1.14747,0.78082,0.35352,0.38158,0.2049,1.64319,1.29993,1.14648,0.00513095,0.00513095,0.00513095
8,331.578,1.67012,1.30286,1.13901,0.78921,0.35347,0.39246,0.2018,1.64192,1.45054,1.12514,0.00486444,0.00486444,0.00486444
9,371.578,1.64425,1.27741,1.1285,0.79987,0.34409,0.39216,0.20528,1.61984,1.60268,1.13214,0.00459794,0.00459794,0.00459794
10,412.205,1.646,1.26806,1.12186,0.82218,0.35555,0.43692,0.22171,1.57319,1.2754,1.10591,0.00433143,0.00433143,0.00433143
11,452.864,1.59922,1.21731,1.1069,0.62227,0.38291,0.42779,0.2355,1.5363,1.15273,1.0812,0.00406492,0.00406492,0.00406492
12,493.459,1.59322,1.19198,1.09735,0.73278,0.41405,0.47067,0.24738,1.56249,1.11907,1.08579,0.00379841,0.00379841,0.00379841
13,533.804,1.58295,1.18576,1.09214,0.68379,0.49731,0.47395,0.24783,1.52401,1.10292,1.09381,0.0035319,0.0035319,0.0035319
14,574.34,1.57488,1.15213,1.08086,0.84544,0.40046,0.45555,0.25046,1.52558,1.06894,1.08032,0.0032654,0.0032654,0.0032654
15,614.741,1.55767,1.10909,1.08187,0.8097,0.43959,0.49779,0.25494,1.5442,1.1004,1.07731,0.00299889,0.00299889,0.00299889
16,655.427,1.5099,1.08489,1.07542,0.81119,0.45068,0.51341,0.27887,1.48065,1.00693,1.07334,0.00273238,0.00273238,0.00273238
17,700.628,1.49016,1.03525,1.06823,0.8075,0.47233,0.50442,0.27516,1.43713,1.0159,1.04639,0.00246587,0.00246587,0.00246587
18,738.412,1.47854,1.0197,1.0565,0.87091,0.4246,0.50447,0.27775,1.44789,1.00944,1.04459,0.00219936,0.00219936,0.00219936
19,776.207,1.45429,0.99434,1.0481,0.72119,0.47785,0.52234,0.2886,1.4151,0.94327,1.04335,0.00193286,0.00193286,0.00193286
20,815.318,1.43973,0.96071,1.04557,0.78963,0.46609,0.53294,0.29334,1.41996,0.96077,1.03245,0.00166635,0.00166635,0.00166635
21,853.728,1.42776,0.93994,1.04113,0.67059,0.44656,0.50651,0.28407,1.44094,0.91316,1.04088,0.00139984,0.00139984,0.00139984
22,893.131,1.43189,0.93159,1.03974,0.72951,0.47216,0.52766,0.29256,1.39217,0.92149,1.0273,0.00113333,0.00113333,0.00113333
23,932.142,1.41277,0.91949,1.03102,0.76504,0.48427,0.54346,0.30735,1.3921,0.88325,1.02315,0.000866824,0.000866824,0.000866824
24,977.781,1.38214,0.89426,1.02583,0.75751,0.48965,0.54817,0.31273,1.36368,0.87143,1.0139,0.000600316,0.000600316,0.000600316
25,1017.8,1.38182,0.87831,1.01822,0.75315,0.48383,0.54652,0.31088,1.3591,0.85951,1.01527,0.000333808,0.000333808,0.000333808
